!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Fri Mar 18 03:39:53 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data
+1.95109560630e+007, +8.86589127115e+001
+1.96972155920e+007, +9.20477861323e+001
+1.98852532310e+007, +9.57535540486e+001
+2.00750859530e+007, +9.97137061959e+001
+2.02667308950e+007, +1.03872186548e+002
+2.04602053590e+007, +1.08197365607e+002
+2.06555268080e+007, +1.12664975858e+002
+2.08527128750e+007, +1.17255874891e+002
+2.10517813610e+007, +1.21961734745e+002
+2.12527502360e+007, +1.26775991696e+002
+2.14556376410e+007, +1.31690863481e+002
+2.16604618920e+007, +1.36703997196e+002
+2.18672414790e+007, +1.41825493431e+002
+2.20759950680e+007, +1.47035889966e+002
+2.22867415030e+007, +1.52357054924e+002
+2.24994998100e+007, +1.57786932950e+002
+2.27142891940e+007, +1.63324177038e+002
+2.29311290460e+007, +1.68978131682e+002
+2.31500389380e+007, +1.74760424310e+002
+2.33710386340e+007, +1.80692410216e+002
+2.35941480820e+007, +1.86778137781e+002
+2.38193874250e+007, +1.93004608995e+002
+2.40467769930e+007, +1.99407034083e+002
+2.42763373160e+007, +2.05993864442e+002
+2.45080891140e+007, +2.12771167881e+002
+2.47420533090e+007, +2.19727651343e+002
+2.49782510220e+007, +2.26932980222e+002
+2.52167035750e+007, +2.34346286140e+002
+2.54574324920e+007, +2.41997995023e+002
+2.57004595060e+007, +2.49905390825e+002
+2.59458065540e+007, +2.58058566455e+002
+2.61934957860e+007, +2.66439133274e+002
+2.64435495590e+007, +2.75014637432e+002
+2.66959904480e+007, +2.83786083234e+002
+2.69508412400e+007, +2.92600962231e+002
+2.72081249420e+007, +3.01390363887e+002
+2.74678647780e+007, +3.09959219115e+002
+2.77300841970e+007, +3.18254700967e+002
+2.79948068690e+007, +3.26031501674e+002
+2.82620566920e+007, +3.33362769361e+002
+2.85318577900e+007, +3.40430193839e+002
+2.88042345190e+007, +3.47626876937e+002
+2.90792114670e+007, +3.55450254502e+002
+2.93568134570e+007, +3.64339469234e+002
+2.96370655490e+007, +3.74506389844e+002
+2.99199930410e+007, +3.86165888291e+002
+3.02056214750e+007, +3.99280851819e+002
+3.04939766340e+007, +4.13782570424e+002
+3.07850845480e+007, +4.29666454123e+002
+3.10789714970e+007, +4.46885631663e+002
+3.13756640100e+007, +4.65382775196e+002
+3.16751888710e+007, +4.85251360105e+002
+3.19775731190e+007, +5.06777299145e+002
+3.22828440490e+007, +5.30049072557e+002
+3.25910292200e+007, +5.55292518914e+002
+3.29021564520e+007, +5.81863848026e+002
+3.32162538310e+007, +6.12106660187e+002
+3.35333497120e+007, +6.45578264991e+002
+3.38534727190e+007, +6.82621477533e+002
+3.41766517510e+007, +7.24303899639e+002
+3.45029159810e+007, +7.72402986973e+002
+3.48322948620e+007, +8.27114435660e+002
+3.51648181290e+007, +8.90410974479e+002
+3.55005157970e+007, +9.63934398214e+002
+3.58394181730e+007, +1.04897434996e+003
+3.61815558480e+007, +1.14655831228e+003
+3.65269597090e+007, +1.25289415488e+003
+3.68756609350e+007, +1.35721477362e+003
+3.72276910060e+007, +1.44829718265e+003
+3.75830816990e+007, +1.52266666373e+003
+3.79418650960e+007, +1.58452037131e+003
+3.83040735860e+007, +1.60707925194e+003
+3.86697398650e+007, +1.57220656128e+003
+3.90388969430e+007, +1.48987372252e+003
+3.94115781450e+007, +1.38376866059e+003
+3.97878171140e+007, +1.27307770939e+003
+4.01676478130e+007, +1.16192645546e+003
+4.05511045300e+007, +1.05081145671e+003
+4.09382218820e+007, +9.49194225081e+002
+4.13290348130e+007, +8.56884497488e+002
+4.17235786030e+007, +7.73600780331e+002
+4.21218888700e+007, +6.99389784011e+002
+4.25240015680e+007, +6.33541670878e+002
+4.29299529970e+007, +5.76191643261e+002
+4.33397798040e+007, +5.27643921976e+002
+4.37535189850e+007, +4.88436761016e+002
+4.41712078880e+007, +4.59045403316e+002
+4.45928842200e+007, +4.39901317893e+002
+4.50185860460e+007, +4.30914197335e+002
+4.54483517940e+007, +4.30361295397e+002
+4.58822202610e+007, +4.34393624127e+002
+4.63202306140e+007, +4.38310139673e+002
+4.67624223910e+007, +4.37338261105e+002
+4.72088355110e+007, +4.29435136886e+002
+4.76595102730e+007, +4.15160263848e+002
+4.81144873590e+007, +3.97663870135e+002
+4.85738078420e+007, +3.81121285127e+002
+4.90375131850e+007, +3.68947352180e+002
+4.95056452480e+007, +3.63036484245e+002
+4.99782462900e+007, +3.64979791030e+002
+5.04553589740e+007, +3.75615948584e+002
+5.09370263700e+007, +3.94370068872e+002
+5.14232919590e+007, +4.18630701952e+002
+5.19141996380e+007, +4.44789441355e+002
+5.24097937210e+007, +4.68221541754e+002
+5.29101189460e+007, +4.84093814964e+002
+5.34152204800e+007, +4.89647783565e+002
+5.39251439190e+007, +4.84587786724e+002
+5.44399352950e+007, +4.70426712424e+002
+5.49596410790e+007, +4.49900486571e+002
+5.54843081850e+007, +4.25884625243e+002
+5.60139839780e+007, +4.00495703699e+002
+5.65487162710e+007, +3.74888522560e+002
+5.70885533360e+007, +3.50131246411e+002
+5.76335439060e+007, +3.27557390424e+002
+5.81837371770e+007, +3.05213965720e+002
+5.87391828180e+007, +2.84205398553e+002
+5.92999309680e+007, +2.64546392271e+002
+5.98660322490e+007, +2.46110042181e+002
+6.04375377630e+007, +2.28803627799e+002
+6.10144991010e+007, +2.12535643018e+002
+6.15969683480e+007, +1.97176584511e+002
+6.21849980820e+007, +1.82606552474e+002
+6.27786413880e+007, +1.68797311180e+002
+6.33779518550e+007, +1.55680626061e+002
+6.39829835830e+007, +1.43167342651e+002
+6.45937911900e+007, +1.31258847327e+002
+6.52104298160e+007, +1.19950120108e+002
+6.58329551250e+007, +1.09166580753e+002
+6.64614233130e+007, +9.89042719013e+001
+6.70958911150e+007, +8.92075941936e+001
+6.77364158050e+007, +8.02050487688e+001
+6.83830552050e+007, +7.20152743200e+001
+6.90358676870e+007, +6.48976604181e+001
+6.96949121830e+007, +5.92259080825e+001
+7.03602481860e+007, +5.54864024902e+001
+7.10319357570e+007, +5.41717066501e+001
+7.17100355310e+007, +5.56404248715e+001
+7.23946087220e+007, +5.99552959575e+001
+7.30857171270e+007, +6.68995350280e+001
+7.37834231350e+007, +7.61680822539e+001
+7.44877897280e+007, +8.74777731593e+001
+7.51988804910e+007, +1.00610961031e+002
+7.59167596160e+007, +1.15404392566e+002
+7.66414919070e+007, +1.31774144900e+002
+7.73731427880e+007, +1.49250658427e+002
+7.81117783060e+007, +1.66988899634e+002
+7.88574651400e+007, +1.83378887067e+002
+7.96102706030e+007, +1.95936928894e+002
+8.03702626540e+007, +2.01778286091e+002
+8.11375098980e+007, +1.99203309288e+002
+8.19120815970e+007, +1.88198404256e+002
+8.26940476720e+007, +1.71392376260e+002
+8.34834787150e+007, +1.52073949214e+002
+8.42804459870e+007, +1.32548458574e+002
+8.50850214330e+007, +1.14325617840e+002
+8.58972776840e+007, +9.85697868744e+001
+8.67172880630e+007, +8.54789900165e+001
+8.75451265960e+007, +7.52959097405e+001
+8.83808680120e+007, +6.82538488508e+001
+8.92245877560e+007, +6.43985289471e+001
+9.00763619930e+007, +6.35354342934e+001
+9.09362676120e+007, +6.52203214456e+001
+9.18043822410e+007, +6.89437029313e+001
+9.26807842460e+007, +7.41489159157e+001
+9.35655527400e+007, +8.04314897048e+001
+9.44587675950e+007, +8.74988429172e+001
+9.53605094430e+007, +9.52272647827e+001
+9.62708596850e+007, +1.03446577520e+002
+9.71899005020e+007, +1.12103051369e+002
+9.81177148560e+007, +1.21064584312e+002
+9.90543865040e+007, +1.30368862522e+002
+1.00000000000e+008, +1.40186222281e+002
END
